Wall time,Step,Value
1706007902.4501123,309,-50.286067962646484
1706007902.6806674,310,-17.038623809814453
1706007905.4884849,311,34.741703033447266
1706007906.4082425,312,-65.42914581298828
1706007908.4979312,314,-116.4972915649414
1706007911.3170652,315,-16.523414611816406
1706007914.9658577,316,48.739871978759766
1706007915.2939787,317,-134.82643127441406
1706007917.942132,318,84.54808044433594
1706007919.14962,319,-126.65727996826172
1706007919.409908,320,-118.9388427734375
1706007919.8637922,321,-82.02537536621094
1706007920.1469076,322,-87.58808135986328
1706007920.4888556,323,-79.6876220703125
1706007920.8214629,324,16.582416534423828
1706007924.3003142,325,70.6205062866211
1706007925.8566506,326,-124.54145050048828
1706007926.375623,327,-94.7928237915039
1706007926.6552618,328,-72.62669372558594
1706007927.019052,329,-25.553621292114258
1706007927.4555774,330,11.984853744506836
1706007927.8960435,331,-60.799739837646484
1706007928.2345207,332,-12.73949909210205
1706007928.5014617,333,-24.624492645263672
1706007928.757348,334,-24.922870635986328
1706007928.9607444,335,-61.325164794921875
1706007929.1649997,336,-36.56559753417969
1706007929.3586242,337,-33.358951568603516
1706007929.5063417,338,-58.05668640136719
1706007929.6532602,339,-96.36048126220703
1706007930.1644683,340,18.01430320739746
1706007930.3241286,341,-70.49272155761719
1706007931.1772451,342,-57.522029876708984
1706007931.3816006,343,-15.35378360748291
1706007931.6562905,344,2.497746706008911
1706007932.346603,345,-48.32465744018555
1706007932.4977226,346,-29.756380081176758
1706007932.6254086,347,-32.30356979370117
1706007932.7781143,348,-17.25935935974121
1706007933.0130012,349,-59.807621002197266
1706007933.247915,350,-117.52059936523438
1706007933.5478258,351,-56.760955810546875
1706007933.886719,352,-93.1312026977539
1706007934.2115116,353,17.585996627807617
1706007934.5758264,354,-46.28094482421875
1706007936.291231,355,7.950573444366455
1706007936.533436,356,-73.81089782714844
1706007936.7171102,357,2.1766037940979004
1706007937.0266871,358,-30.5146427154541
1706007937.387598,359,16.68790626525879
1706007937.8997126,360,41.759334564208984
1706007938.2262328,361,10.678816795349121
1706007938.483183,362,24.548866271972656
1706007938.848941,363,-15.927132606506348
1706007939.3979113,364,-38.78133773803711
1706007939.6163297,365,-26.260486602783203
1706007939.8693268,366,-7.206501483917236
1706007940.290862,367,3.1676371097564697
1706007940.7243433,368,2.769333600997925
1706007941.047658,369,-21.29611587524414
1706007942.3047588,371,3.2335665225982666
1706007942.682556,372,-37.252262115478516
1706007943.0998626,373,-22.900588989257812
1706007943.6147642,374,-45.46617126464844
1706007943.9536908,375,-39.732025146484375
1706007945.3724024,376,-6.356664180755615
1706007947.5410259,377,-57.40882110595703
1706007948.0414886,378,-54.747920989990234
1706007948.460752,379,4.640955924987793
1706007948.808172,380,31.716224670410156
1706007949.1880848,381,40.84636688232422
1706007950.152041,382,218.60972595214844
1706007950.7836096,383,-30.298858642578125
1706007951.251367,384,-2.7895500659942627
1706007951.694871,385,-147.44668579101562
1706007952.0869904,386,-92.45283508300781
1706007952.4367957,387,47.72532272338867
1706007952.7574592,388,-68.42996215820312
1706007953.4448323,389,194.02769470214844
1706007953.9782684,390,-172.06454467773438
1706007954.3235867,391,-229.1435089111328
1706007954.8708117,392,-202.46995544433594
1706007955.301942,393,-50.63358688354492
1706007955.503421,394,-125.26377868652344
1706007956.159618,396,-53.89680099487305
1706007956.4599924,397,-69.95272064208984
1706007956.8227882,398,-185.85926818847656
1706007957.1506202,399,-136.52822875976562
1706007960.6128159,400,-116.23744201660156
1706007960.8798547,401,-54.5935173034668
1706007961.089337,402,-56.38826370239258
1706007961.298709,403,-58.763858795166016
1706007961.5319097,404,-9.869830131530762
1706007961.7705803,405,-33.2547721862793
1706007961.9588382,406,-38.57573318481445
1706007962.5249925,407,-30.309480667114258
1706007962.782029,408,-54.48804473876953
1706007963.0660014,409,-44.6462287902832
1706007963.4215293,410,8.388246536254883
1706007963.6172078,411,30.758398056030273
1706007963.8448684,412,31.016613006591797
1706007964.0522573,413,-22.6073055267334
1706007964.256138,414,-60.443267822265625
1706007964.5050983,415,13.318197250366211
1706007964.9644272,416,44.41627883911133
1706007965.185556,417,-13.365579605102539
1706007965.5762916,419,37.60628128051758
1706007965.804301,420,-0.2956486642360687
1706007966.0642765,421,58.820350646972656
1706007966.3420756,422,28.733598709106445
1706007966.5741224,423,7.733251094818115
1706007966.8412218,424,22.650074005126953
1706007967.3476217,425,-23.642038345336914
1706007967.650523,426,39.972625732421875
1706007967.9444683,427,13.053290367126465
1706007968.501759,428,217.9368896484375
1706007968.8942966,429,14.214865684509277
1706007969.1947854,430,49.39091491699219
1706007969.5345004,431,15.686326026916504
1706007970.3590426,433,52.98662185668945
1706007973.7964268,435,21.780061721801758
1706007974.166925,436,-19.569936752319336
1706007974.3769386,437,-145.16903686523438
1706007974.5907085,438,-70.79685974121094
1706007974.9029932,439,26.403493881225586
1706007975.4153054,440,65.91190338134766
1706007975.7143617,441,32.44536590576172
1706007976.0828166,442,-44.425228118896484
1706007976.474525,443,42.77666091918945
1706007976.7669408,444,13.853888511657715
1706007977.0168202,445,62.9857177734375
1706007977.4062707,446,35.09575653076172
1706007977.8467138,447,220.0974578857422
1706007978.3107133,448,-60.727272033691406
1706007978.6815898,449,40.545677185058594
1706007979.160231,450,302.1587219238281
1706007979.6187055,451,16.468366622924805
1706007980.1003702,452,-34.20461654663086
1706007980.6310923,453,-26.16103172302246
1706007981.2584727,454,-95.6766357421875
1706007982.1895082,455,235.75341796875
1706007983.0053952,456,-31.011795043945312
1706007983.442078,457,0.14291320741176605
1706007983.9292915,458,36.93385696411133
1706007984.7202392,459,257.0931701660156
1706007985.1727006,460,-22.26844024658203
1706007985.5911994,461,-50.76897048950195
1706007986.1409473,462,236.3387908935547
1706007986.5323803,463,-29.72093391418457
1706007986.781766,464,-1.6135900020599365
1706007987.021046,465,24.53012466430664
1706007987.4261222,466,274.0065612792969
1706007988.4985292,467,-3.7244722843170166
1706007988.732148,468,39.737545013427734
1706007988.9347315,469,-6.970664024353027
1706007989.1799269,470,20.104419708251953
1706007989.657513,471,262.1871337890625
1706007990.0404909,472,74.73158264160156
1706007990.444895,473,226.66583251953125
1706007990.8061206,474,40.178192138671875
1706007991.063692,475,-12.02965259552002
1706007991.4261353,476,191.49591064453125
1706007991.7530658,477,-48.34199142456055
1706007991.964499,478,48.5881233215332
1706007992.256259,479,29.604778289794922
1706007992.4932857,480,-58.66476058959961
1706007992.9093053,481,239.01239013671875
1706007994.0225608,482,271.7774963378906
1706007994.7296903,483,224.17593383789062
1706007995.987958,484,270.1864013671875
1706007996.6909678,485,-106.03081512451172
1706007999.1479726,486,15.63105583190918
1706007999.5440955,487,-20.94759178161621
1706008000.2026014,488,206.94827270507812
1706008001.1067,489,29.49277687072754
1706008002.0258117,490,-2.350876808166504
1706008003.2606885,491,228.10035705566406
1706008006.0333648,492,273.21820068359375
1706008008.0725658,493,232.75164794921875
1706008009.5357654,494,267.6046142578125
1706008011.016721,496,57.013790130615234
1706008011.9482956,497,-51.793216705322266
1706008012.5666642,498,-10.863205909729004
1706008013.2183177,499,30.42792510986328
1706008014.5960348,500,258.3920593261719
1706008015.4166615,501,26.866609573364258
1706008015.9597306,503,15.21146011352539
1706008016.2080586,504,5.911209583282471
1706008016.4700346,505,-19.512563705444336
1706008016.6789541,506,18.003267288208008
1706008016.8893032,507,-31.398714065551758
1706008017.181451,508,-32.004966735839844
1706008017.433956,509,34.02953338623047
1706008017.6590955,510,19.329689025878906
1706008018.3933601,511,271.3417053222656
1706008018.8055153,512,46.5492057800293
1706008019.1284697,513,260.135498046875
1706008019.402059,514,10.701239585876465
1706008019.8053052,515,216.94215393066406
1706008020.1302223,516,34.58894348144531
1706008020.4394994,517,-31.24310302734375
1706008021.6770742,518,-13.206197738647461
1706008022.1114268,519,37.125064849853516
1706008022.3977852,520,-29.50164031982422
